分镜数,分镜提示词
1,"角色: 女儿, 父亲
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 在一个客厅里，女儿 趴在地板上，表情痛苦。穿着超人服装的 父亲 站在他身后，双手叉腰。
姿势表情: 女儿 张大嘴巴，表情是惊恐。父亲 表情是开心。
环境: 明亮的现代客厅。"
2,"角色: 女儿, 父亲
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 在客厅里，女儿 跪在地上，双手抱头。穿着超人服装的 父亲 站在他旁边。
姿势表情: 女儿 张大嘴巴，表情是惊恐。父亲 表情是开心。
环境: 现代客厅。"
3,"角色: 女儿, 母亲
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 在客厅里，女儿 趴在地上，双手抱头。穿着神奇女侠服装的 母亲 站在他旁边，双手叉腰。
姿势表情: 女儿 张大嘴巴，表情是惊恐。母亲 表情是开心。
环境: 现代客厅。"
4,"角色: 女儿, 母亲
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 在客厅里，女儿 跪在地上，双手抱头。穿着神奇女侠服装的 母亲 在他旁边摆出姿势。
姿势表情: 女儿 张大嘴巴，表情是惊恐。母亲 表情是开心。
环境: 现代客厅。"
5,"角色: 女儿, 父亲, 母亲
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 女儿 位于画面左侧，他穿着超人服装的 父亲 和穿着神奇女侠服装的 母亲 在他右侧拥抱在一起。
姿势表情: 女儿 张大嘴巴，表情是惊恐。父亲 和 母亲 的表情都是开心。
环境: 现代客厅。"
6,"角色: 女儿
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 女儿 俯身在窗台上，朝外看。背景是一条挤满了穿着万圣节服装的人的街道。
姿势表情: 女儿 张大嘴巴，表情是愤怒。
环境: 从室内望向户外的郊区街道。"
7,"角色: 一群穿着万圣节服装的人
机位与景别: 视角: 平视，景别: 全景
构图与人物位置: 一大群成年人和孩子穿着各种超级英雄和怪物的服装，正沿着一条挂着彩旗的郊区街道行走。
姿势表情: 大多数人的表情都是开心。
环境: 装饰有南瓜灯的秋日郊区街道。"
8,"角色: 女儿
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 女儿 独自一人在室内，一只手放在胸前，另一只手指着上方。
姿势表情: 女儿 张大嘴巴，眼含泪水，表情是悲伤。
环境: 明亮的室内。"
9,"角色: 女儿, 一群穿着万圣节服装的人
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 站在人群中央，周围所有穿着服装的人都伸出手指着他。
姿势表情: 女儿 张大嘴巴大哭，表情是悲伤。周围的人都在嘲笑，表情是开心。
环境: 户外郊区环境。"
10,"角色: 怪兽
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 一个穿着红色快递员制服的卡通怪兽，正站在一扇门前按门铃，他身边放着一个钢铁侠主题的手提箱。
姿势表情: 怪兽 的表情是开心。
环境: 住宅门口。"
11,"角色: 怪兽, 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 怪兽 位于画面左侧，正在将一个钢铁侠主题的手提箱递给位于画面右侧的 女儿。
姿势表情: 怪兽 的表情是开心。女儿 的表情是震惊。
环境: 住宅门口。"
