分镜数,分镜提示词
1,"角色: 父亲, 女儿
机位与景别: 视角: 平视，景别: 全景
构图与人物位置: 在一个现代客厅里，父亲 站在画面左侧，双手捂着头。女儿 在画面右侧，正半蹲在一个地板上的大土坑里用铲子挖土。
姿势表情: 父亲 张大嘴巴，表情是震惊。女儿 咧嘴笑着，表情是兴奋。
环境: 光线充足的现代客厅，有沙发和盆栽植物。**创意环境变化：随着女儿的挖掘，周围的地板开始出现微小的裂缝，盆栽植物的叶子轻微颤抖，墙上的照片框微微倾斜，暗示着即将发生的奇异变化。**"
2,"角色: 父亲, 女儿
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 父亲 位于画面左侧，用左手搭在女儿 的脖子。女儿 位于画面右侧。
姿势表情: 父亲 张大嘴巴怒吼，表情是愤怒。女儿 眼睛挤在一起，表情是无奈。
环境: 现代客厅的模糊背景。**创意环境变化：背景中的沙发开始轻微下沉，茶杯在桌子上微微晃动，窗帘无风自动，空气中出现细微的尘埃在光线中飞舞。**"
3,"角色: 父亲
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 父亲 独自一人位于画面中央，身体前倾，正对镜头。
姿势表情: 父亲 紧握双拳，张大嘴巴怒吼，表情是愤怒。
环境: 现代客厅的模糊背景。**创意环境变化：父亲脚下的地板出现放射状的裂纹，墙壁上的壁纸开始剥落，天花板的灯具发出不稳定的闪烁，整个空间似乎在回应他的愤怒。**"
4,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 跪坐在客厅地板的土坑里，正用五彩的积木搭建一个结构。
姿势表情: 女儿 面向镜头，表情是开心。
环境: 现代客厅，光线明亮。**创意环境变化：积木散发出柔和的彩虹光芒，土坑周围的泥土开始呈现出晶莹剔透的质感，空气中飘浮着细小的光点，仿佛魔法正在激活。**"
5,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 站在一个方形的、类似泳池的坑边，双手抱着一根粗大的彩色水管，正在往坑里注水。
姿势表情: 女儿 张大嘴巴，表情是兴奋。
环境: 现代客厅，坑里已经有了一些水。**创意环境变化：水管中流出的水闪烁着七彩光芒，水滴在空中形成短暂的晶体结构，坑里的水开始泛起波纹，周围的地板出现水波般的涟漪效果。**"
6,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 站在客厅里一个装满水的室内游泳池前。
姿势表情: 女儿 举起双臂，紧握拳头，张大嘴巴，表情是兴奋。
环境: 现代客厅，背景是沙发和窗户。**创意环境变化：游泳池的水面上升起轻柔的蒸汽，周围的家具被水雾环绕变得朦胧，窗户玻璃上凝结出奇妙的水珠图案，整个客厅变成了热带雨林般的氛围。**"
7,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 在室内游泳池里，身体前倾，做出游泳的姿势。
姿势表情: 女儿 张大嘴巴，表情是兴奋。
环境: 客厅里的室内游泳池。**创意环境变化：游泳池的水开始呈现梦幻般的蓝色渐变，水面上漂浮着发光的花瓣，周围的墙壁上出现水波纹的光影投射，整个空间仿佛变成了海底世界。**"
8,"角色: 女儿, 父亲
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 女儿 站在 父亲 的左侧，右手搭在 父亲 的胸前。
姿势表情: 女儿 张大嘴巴，表情是兴奋。父亲 张着嘴，表情是震惊。
环境: 现代客厅，背景是室内游泳池。**创意环境变化：父亲身后的游泳池水面上开始出现小型喷泉，水花四溅形成彩虹，周围空气中的水珠折射出奇妙的光芒，整个客厅充满了梦幻的水元素。**"
9,"角色: 母亲, 女儿
机位与景别: 视角: 平视，景别: 全景
构图与人物位置: 母亲 站在室内游泳池的边缘，向空中抛洒零食。女儿 在游泳池里，伸出双手准备去接。
姿势表情: 母亲 和 女儿 的表情都是开心。
环境: 现代客厅里的室内游泳池。**创意环境变化：被抛洒的零食在空中变成闪闪发光的星星形状，游泳池的水面随着零食的落下泛起金色的涟漪，周围的植物开始快速生长并开花，整个空间变成了童话花园。**"
10,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 坐在室内游泳池里，怀里抱着一大堆各种品牌的薯片袋。
姿势表情: 女儿 正在吃一片薯片，表情是开心。
环境: 室内游泳池，水面上漂浮着一些薯片袋。**创意环境变化：薯片袋在水中舒展变成小船的形状，水面飘荡着黄油般的金色光泽，周围的空气中弥漫着温暖香甜的气息，游泳池变成了美食天堂。**"
11,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 穿着一个蓝色的游泳圈，在室内游泳池里。
姿势表情: 女儿 身体前倾，张大嘴巴，表情是兴奋。
环境: 室内游泳池。**创意环境变化：游泳圈开始发光并在水面上留下闪亮的轨迹，游泳池的水变成透明的蓝色，可以看到水底浮现出奇妙的海底图案，整个客厅仿佛被海洋包围。**"
12,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 穿着一个蓝色的游泳圈，在室内游泳池里，双手捧着一块巨大的巧克力曲奇饼干。
姿势表情: 女儿 张大嘴巴，准备咬饼干，表情是兴奋。
环境: 室内游泳池，水面上漂浮着几块同样巨大的曲奇饼干。**创意环境变化：巨大的曲奇饼干散发出温暖的金色光芒，巧克力碎片在水中融化形成甜美的河流，空气中充满巧克力的香气，整个游泳池变成了巧克力温泉。**"
13,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 站在室内游泳池里，双手举着一个写着“LIKE & Subscribe”的硬纸板。
姿esses: 女儿 张大嘴巴，表情是兴奋。
环境: 室内游泳池，水面上漂浮着曲奇饼干。**创意环境变化：纸板上的字母开始发光并在空中投射出闪烁的光芒，游泳池的水面上出现心形和点赞符号的涟漪，整个客厅充满了社交媒体互动的魔幻氛围，仿佛整个世界都在为她的创意喝彩。**"
