分镜数,分镜提示词
1,"角色: 父亲, 女儿
机位与景别: 视角: 平视，景别: 全景
构图与人物位置: 在一个现代客厅里，父亲 站在画面左侧，双手捂着头。女儿 在画面右侧，正半蹲在一个地板上的大土坑里用铲子挖土。
姿势表情: 父亲 张大嘴巴，表情是震惊。女儿 咧嘴笑着，表情是兴奋。
环境: 光线充足的现代客厅，有沙发和盆栽植物。"
2,"角色: 父亲, 女儿
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 父亲 位于画面左侧，用左手搭在女儿 的脖子。女儿 位于画面右侧。
姿势表情: 父亲 张大嘴巴怒吼，表情是愤怒。女儿 眼睛挤在一起，表情是无奈。
环境: 现代客厅的模糊背景。"
3,"角色: 父亲
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 父亲 独自一人位于画面中央，身体前倾，正对镜头。
姿势表情: 父亲 紧握双拳，张大嘴巴怒吼，表情是愤怒。
环境: 现代客厅的模糊背景。"
4,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 跪坐在客厅地板的土坑里，正用五彩的积木搭建一个结构。
姿势表情: 女儿 面向镜头，表情是开心。
环境: 现代客厅，光线明亮。"
5,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 站在一个方形的、类似泳池的坑边，双手抱着一根粗大的彩色水管，正在往坑里注水。
姿势表情: 女儿 张大嘴巴，表情是兴奋。
环境: 现代客厅，坑里已经有了一些水。"
6,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 站在客厅里一个装满水的室内游泳池前。
姿势表情: 女儿 举起双臂，紧握拳头，张大嘴巴，表情是兴奋。
环境: 现代客厅，背景是沙发和窗户。"
7,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 在室内游泳池里，身体前倾，做出游泳的姿势。
姿势表情: 女儿 张大嘴巴，表情是兴奋。
环境: 客厅里的室内游泳池。"
8,"角色: 女儿, 父亲
机位与景别: 视角: 平视，景别: 近景
构图与人物位置: 女儿 站在 父亲 的左侧，右手搭在 父亲 的胸前。
姿势表情: 女儿 张大嘴巴，表情是兴奋。父亲 张着嘴，表情是震惊。
环境: 现代客厅，背景是室内游泳池。"
9,"角色: 母亲, 女儿
机位与景别: 视角: 平视，景别: 全景
构图与人物位置: 母亲 站在室内游泳池的边缘，向空中抛洒零食。女儿 在游泳池里，伸出双手准备去接。
姿势表情: 母亲 和 女儿 的表情都是开心。
环境: 现代客厅里的室内游泳池。"
10,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 坐在室内游泳池里，怀里抱着一大堆各种品牌的薯片袋。
姿势表情: 女儿 正在吃一片薯片，表情是开心。
环境: 室内游泳池，水面上漂浮着一些薯片袋。"
11,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 穿着一个蓝色的游泳圈，在室内游泳池里。
姿势表情: 女儿 身体前倾，张大嘴巴，表情是兴奋。
环境: 室内游泳池。"
12,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 穿着一个蓝色的游泳圈，在室内游泳池里，双手捧着一块巨大的巧克力曲奇饼干。
姿势表情: 女儿 张大嘴巴，准备咬饼干，表情是兴奋。
环境: 室内游泳池，水面上漂浮着几块同样巨大的曲奇饼干。"
13,"角色: 女儿
机位与景别: 视角: 平视，景别: 中景
构图与人物位置: 女儿 站在室内游泳池里，双手举着一个写着“LIKE & Subscribe”的硬纸板。
姿esses: 女儿 张大嘴巴，表情是兴奋。
环境: 室内游泳池，水面上漂浮着曲奇饼干。"
